,VOLUMN1,VOLUMN2,VOLUMN3,VOLUMN4,VOLUMN5,VOLUMN6,VOLUMN7,VOLUMN8,VOLUMN9,VOLUMN10,PRICE1,PRICE2,PRICE3,PRICE4,PRICE5,PRICE6,PRICE7,PRICE8,PRICE9,PRICE10
20171018T1,380.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,424.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T2,300.0,90.0,40.0,20.0,210.0,0.0,0.0,0.0,0.0,0.0,-952.0,61.88,65.69,70.45,424.59,0.0,0.0,0.0,0.0,0.0
20171018T3,300.0,170.0,60.0,20.0,20.0,90.0,0.0,0.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,424.59,0.0,0.0,0.0,0.0
20171018T4,300.0,240.0,80.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,0.0,0.0,0.0,0.0,0.0
20171018T5,300.0,200.0,80.0,30.0,30.0,20.0,0.0,0.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,114.24,0.0,0.0,0.0,0.0
20171018T6,300.0,210.0,80.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,0.0,0.0,0.0,0.0,0.0
20171018T7,300.0,200.0,80.0,50.0,30.0,0.0,0.0,0.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,0.0,0.0,0.0,0.0,0.0
20171018T8,300.0,190.0,80.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,0.0,0.0,0.0,0.0,0.0
20171018T9,300.0,170.0,80.0,50.0,50.0,10.0,0.0,0.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,114.24,0.0,0.0,0.0,0.0
20171018T10,300.0,230.0,30.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,0.0,0.0,0.0,0.0,0.0
20171018T11,300.0,200.0,30.0,50.0,50.0,30.0,0.0,0.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,114.24,0.0,0.0,0.0,0.0
20171018T12,300.0,200.0,30.0,50.0,50.0,30.0,0.0,0.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,114.24,0.0,0.0,0.0,0.0
20171018T13,250.0,50.0,210.0,30.0,50.0,50.0,20.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,82.82,114.24,0.0,0.0,0.0
20171018T14,250.0,50.0,200.0,30.0,50.0,50.0,30.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,82.82,114.24,0.0,0.0,0.0
20171018T15,250.0,50.0,220.0,30.0,50.0,50.0,10.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,82.82,114.24,0.0,0.0,0.0
20171018T16,250.0,50.0,240.0,30.0,50.0,40.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,82.82,0.0,0.0,0.0,0.0
20171018T17,250.0,50.0,230.0,30.0,50.0,50.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,82.82,0.0,0.0,0.0,0.0
20171018T18,250.0,50.0,240.0,30.0,50.0,40.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,82.82,0.0,0.0,0.0,0.0
20171018T19,250.0,50.0,220.0,30.0,50.0,50.0,10.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,82.82,114.24,0.0,0.0,0.0
20171018T20,250.0,50.0,250.0,30.0,50.0,30.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,82.82,0.0,0.0,0.0,0.0
20171018T21,250.0,50.0,270.0,30.0,50.0,10.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,82.82,0.0,0.0,0.0,0.0
20171018T22,250.0,50.0,300.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,0.0,0.0,0.0,0.0,0.0
20171018T23,250.0,50.0,290.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,0.0,0.0,0.0,0.0,0.0
20171018T24,250.0,50.0,300.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,0.0,0.0,0.0,0.0,0.0
20171018T25,250.0,50.0,280.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,0.0,0.0,0.0,0.0,0.0
20171018T26,250.0,50.0,300.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,0.0,0.0,0.0,0.0,0.0
20171018T27,250.0,50.0,300.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,0.0,0.0,0.0,0.0,0.0
20171018T28,250.0,50.0,300.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,0.0,0.0,0.0,0.0,0.0
20171018T29,250.0,50.0,330.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171018T30,250.0,50.0,340.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171018T31,250.0,50.0,330.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171018T32,250.0,50.0,310.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,0.0,0.0,0.0,0.0,0.0
20171018T33,250.0,50.0,270.0,30.0,50.0,10.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,82.82,0.0,0.0,0.0,0.0
20171018T34,250.0,50.0,300.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,0.0,0.0,0.0,0.0,0.0
20171018T35,250.0,50.0,260.0,30.0,50.0,20.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,82.82,0.0,0.0,0.0,0.0
20171018T36,250.0,50.0,220.0,30.0,50.0,50.0,10.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,82.82,114.24,0.0,0.0,0.0
20171018T37,250.0,50.0,280.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,0.0,0.0,0.0,0.0,0.0
20171018T38,250.0,50.0,280.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,0.0,0.0,0.0,0.0,0.0
20171018T39,250.0,50.0,270.0,30.0,50.0,10.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,82.82,0.0,0.0,0.0,0.0
20171018T40,250.0,50.0,290.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,61.88,65.69,70.45,0.0,0.0,0.0,0.0,0.0
20171018T41,300.0,260.0,30.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,0.0,0.0,0.0,0.0,0.0
20171018T42,300.0,230.0,30.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,0.0,0.0,0.0,0.0,0.0
20171018T43,300.0,200.0,30.0,30.0,30.0,30.0,30.0,10.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,114.24,274.18,424.59,0.0,0.0
20171018T44,300.0,190.0,30.0,30.0,30.0,30.0,30.0,20.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,114.24,274.18,424.59,0.0,0.0
20171018T45,300.0,190.0,30.0,30.0,30.0,30.0,30.0,20.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,114.24,274.18,424.59,0.0,0.0
20171018T46,300.0,190.0,30.0,30.0,30.0,30.0,30.0,20.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,114.24,274.18,424.59,0.0,0.0
20171018T47,300.0,190.0,30.0,30.0,30.0,30.0,30.0,20.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,114.24,274.18,424.59,0.0,0.0
20171018T48,300.0,210.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,-952.0,61.88,65.69,70.45,82.82,114.24,274.18,0.0,0.0,0.0
20171019T1,300.0,330.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T2,300.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T3,300.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T4,300.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T5,300.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T6,300.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T7,300.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T8,300.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T9,300.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T10,300.0,340.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T11,300.0,340.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T12,300.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T13,250.0,50.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T14,250.0,50.0,350.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171019T15,250.0,50.0,350.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171019T16,250.0,50.0,340.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171019T17,250.0,50.0,340.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171019T18,250.0,50.0,340.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171019T19,250.0,50.0,340.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171019T20,250.0,50.0,350.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171019T21,250.0,50.0,350.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171019T22,250.0,50.0,340.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171019T23,250.0,50.0,340.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171019T24,250.0,50.0,320.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171019T25,250.0,50.0,290.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,65.69,70.45,0.0,0.0,0.0,0.0,0.0
20171019T26,250.0,50.0,310.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171019T27,250.0,50.0,300.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,65.69,70.45,0.0,0.0,0.0,0.0,0.0
20171019T28,250.0,50.0,320.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0
20171019T29,250.0,50.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T30,250.0,50.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T31,250.0,50.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T32,250.0,50.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T33,250.0,50.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T34,250.0,50.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T35,250.0,50.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T36,250.0,50.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T37,250.0,50.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T38,250.0,50.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T39,250.0,50.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T40,250.0,50.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T41,300.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T42,300.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T43,300.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T44,300.0,320.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T45,300.0,290.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T46,300.0,280.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,65.69,70.45,0.0,0.0,0.0,0.0,0.0,0.0
20171019T47,300.0,270.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,65.69,70.45,0.0,0.0,0.0,0.0,0.0,0.0
20171019T48,300.0,270.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,65.69,70.45,0.0,0.0,0.0,0.0,0.0,0.0
20171020T1,300.0,290.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,65.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T2,300.0,260.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,57.12,65.69,70.45,0.0,0.0,0.0,0.0,0.0,0.0
