,VOLUMN1,VOLUMN2,VOLUMN3,VOLUMN4,VOLUMN5,VOLUMN6,VOLUMN7,VOLUMN8,VOLUMN9,VOLUMN10,PRICE1,PRICE2,PRICE3,PRICE4,PRICE5,PRICE6,PRICE7,PRICE8,PRICE9,PRICE10
20171018T1,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T2,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T3,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T4,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T5,5.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.96,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T6,5.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.96,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T7,5.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.96,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T8,5.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.96,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T9,5.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.96,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T10,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T11,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
