,VOLUMN1,VOLUMN2,VOLUMN3,VOLUMN4,VOLUMN5,VOLUMN6,VOLUMN7,VOLUMN8,VOLUMN9,VOLUMN10,PRICE1,PRICE2,PRICE3,PRICE4,PRICE5,PRICE6,PRICE7,PRICE8,PRICE9,PRICE10
20171018T1,370.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T2,370.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T3,370.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T4,370.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T5,370.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T6,370.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T7,370.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T8,370.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T9,370.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T10,370.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T11,370.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T12,370.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T13,370.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T14,370.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T15,300.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T16,300.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.6,142.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
