,VOLUMN1,VOLUMN2,VOLUMN3,VOLUMN4,VOLUMN5,VOLUMN6,VOLUMN7,VOLUMN8,VOLUMN9,VOLUMN10,PRICE1,PRICE2,PRICE3,PRICE4,PRICE5,PRICE6,PRICE7,PRICE8,PRICE9,PRICE10
20171018T1,110.0,15.0,40.0,20.0,40.0,15.0,0.0,0.0,0.0,0.0,-940.2,-0.05,56.16,78.72,186.16,13350.84,0.0,0.0,0.0,0.0
20171018T2,110.0,15.0,40.0,20.0,40.0,15.0,0.0,0.0,0.0,0.0,-940.2,-0.05,56.16,78.72,186.16,13350.84,0.0,0.0,0.0,0.0
20171018T3,110.0,15.0,40.0,20.0,40.0,15.0,0.0,0.0,0.0,0.0,-940.2,-0.05,56.16,78.72,186.16,13350.84,0.0,0.0,0.0,0.0
20171018T4,110.0,15.0,40.0,20.0,40.0,15.0,0.0,0.0,0.0,0.0,-940.2,-0.05,56.16,78.72,186.16,13350.84,0.0,0.0,0.0,0.0
20171018T5,110.0,50.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T6,110.0,50.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T7,110.0,50.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T8,110.0,50.0,90.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,13350.84,0.0,0.0,0.0,0.0,0.0
20171018T9,110.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T10,110.0,50.0,90.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,13350.84,0.0,0.0,0.0,0.0,0.0
20171018T11,110.0,50.0,90.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,13350.84,0.0,0.0,0.0,0.0,0.0
20171018T12,110.0,50.0,90.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,13350.84,0.0,0.0,0.0,0.0,0.0
20171018T13,110.0,50.0,90.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,13350.84,0.0,0.0,0.0,0.0,0.0
20171018T14,110.0,50.0,90.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,13350.84,0.0,0.0,0.0,0.0,0.0
20171018T15,110.0,50.0,90.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,13350.84,0.0,0.0,0.0,0.0,0.0
20171018T16,110.0,50.0,90.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,13350.84,0.0,0.0,0.0,0.0,0.0
20171018T17,110.0,50.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T18,110.0,50.0,90.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,13350.84,0.0,0.0,0.0,0.0,0.0
20171018T19,110.0,50.0,90.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,13350.84,0.0,0.0,0.0,0.0,0.0
20171018T20,110.0,50.0,90.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,13350.84,0.0,0.0,0.0,0.0,0.0
20171018T21,110.0,50.0,90.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,13350.84,0.0,0.0,0.0,0.0,0.0
20171018T22,110.0,50.0,90.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,13350.84,0.0,0.0,0.0,0.0,0.0
20171018T23,110.0,50.0,90.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,13350.84,0.0,0.0,0.0,0.0,0.0
20171018T24,110.0,50.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T25,110.0,50.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T26,110.0,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,0.0,0.0,0.0,0.0,0.0,0.0
20171018T27,110.0,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,0.0,0.0,0.0,0.0,0.0,0.0
20171018T28,110.0,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,0.0,0.0,0.0,0.0,0.0,0.0
20171018T29,110.0,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,0.0,0.0,0.0,0.0,0.0,0.0
20171018T30,110.0,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,0.0,0.0,0.0,0.0,0.0,0.0
20171018T31,110.0,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,0.0,0.0,0.0,0.0,0.0,0.0
20171018T32,110.0,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,0.0,0.0,0.0,0.0,0.0,0.0
20171018T33,110.0,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,0.0,0.0,0.0,0.0,0.0,0.0
20171018T34,110.0,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,0.0,0.0,0.0,0.0,0.0,0.0
20171018T35,110.0,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,0.0,0.0,0.0,0.0,0.0,0.0
20171018T36,110.0,50.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.2,42.3,56.16,69.32,0.0,0.0,0.0,0.0,0.0,0.0
20171018T37,110.0,15.0,40.0,20.0,40.0,35.0,0.0,0.0,0.0,0.0,-940.2,-0.05,56.16,78.72,186.16,13350.84,0.0,0.0,0.0,0.0
20171018T38,110.0,15.0,40.0,20.0,40.0,35.0,0.0,0.0,0.0,0.0,-940.2,-0.05,56.16,78.72,186.16,13350.84,0.0,0.0,0.0,0.0
20171018T39,110.0,15.0,40.0,20.0,40.0,35.0,0.0,0.0,0.0,0.0,-940.2,-0.05,56.16,78.72,186.16,13350.84,0.0,0.0,0.0,0.0
20171018T40,110.0,15.0,40.0,20.0,40.0,35.0,0.0,0.0,0.0,0.0,-940.2,-0.05,56.16,78.72,186.16,13350.84,0.0,0.0,0.0,0.0
20171018T41,110.0,15.0,40.0,20.0,40.0,35.0,0.0,0.0,0.0,0.0,-940.2,-0.05,56.16,78.72,186.16,13350.84,0.0,0.0,0.0,0.0
20171018T42,110.0,15.0,25.0,15.0,20.0,40.0,35.0,0.0,0.0,0.0,-940.2,-0.05,42.3,56.16,78.72,186.16,13350.84,0.0,0.0,0.0
20171018T43,110.0,15.0,25.0,15.0,20.0,40.0,35.0,0.0,0.0,0.0,-940.2,-0.05,42.3,56.16,78.72,186.16,13350.84,0.0,0.0,0.0
20171018T44,110.0,15.0,25.0,15.0,20.0,40.0,35.0,0.0,0.0,0.0,-940.2,-0.05,42.3,56.16,78.72,186.16,13350.84,0.0,0.0,0.0
