,VOLUMN1,VOLUMN2,VOLUMN3,VOLUMN4,VOLUMN5,VOLUMN6,VOLUMN7,VOLUMN8,VOLUMN9,VOLUMN10,PRICE1,PRICE2,PRICE3,PRICE4,PRICE5,PRICE6,PRICE7,PRICE8,PRICE9,PRICE10
20171018T1,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T2,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T3,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T4,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T5,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T6,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T7,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T8,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T9,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T10,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T11,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T12,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T13,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T14,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T15,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T16,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T17,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T18,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T19,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T20,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T21,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T22,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T23,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T24,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T25,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T26,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T27,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T28,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T29,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T30,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T31,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T32,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
