,VOLUMN1,VOLUMN2,VOLUMN3,VOLUMN4,VOLUMN5,VOLUMN6,VOLUMN7,VOLUMN8,VOLUMN9,VOLUMN10,PRICE1,PRICE2,PRICE3,PRICE4,PRICE5,PRICE6,PRICE7,PRICE8,PRICE9,PRICE10
20171018T1,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T2,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T3,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T4,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T5,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T6,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T7,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T8,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T9,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T10,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T11,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T12,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T13,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T14,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T15,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T16,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T17,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T18,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T19,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T20,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T21,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T22,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T23,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
